 "mw" , "g" , "gl" ,
 "http://purl.bdrc.io/resource/MW2CZ6605" , "http://purl.bdrc.io/resource/G2CN10864" , "rgyud stod grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG9997" , "http://purl.bdrc.io/resource/G2CN10864" , "rgyud stod grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW30338" , "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang /" ,
 "http://purl.bdrc.io/resource/MW22270" , "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG12174" , "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang /" ,
 "http://purl.bdrc.io/resource/MW27923" , "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG5153" , "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang /" ,
 "http://purl.bdrc.io/resource/MW3CN22990" , "http://purl.bdrc.io/resource/G2CN10924" , "bstan rgyas gling spar spyi'i par khang /" ,
 "http://purl.bdrc.io/resource/MW8LS32582" , "http://purl.bdrc.io/resource/G2CN10924" , "bstan rgyas gling spar spyi'i par khang /" ,
 "http://purl.bdrc.io/resource/MW23732" , "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW22130" , "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW9209" , "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ2512" , "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG208141" , "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ15298" , "http://purl.bdrc.io/resource/G3JT12609" , "dwags lha sgam po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW10746" , "http://purl.bdrc.io/resource/G3JT12609" , "dwags lha sgam po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ301826" , "http://purl.bdrc.io/resource/G3JT12609" , "dwags lha sgam po'i par khang /" ,
 "http://purl.bdrc.io/resource/MW23882" , "http://purl.bdrc.io/resource/G3JT12572" , "pha bong kha ri khrod kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW29252" , "http://purl.bdrc.io/resource/G3JT12572" , "pha bong kha ri khrod kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ8095" , "http://purl.bdrc.io/resource/G3JT12572" , "pha bong kha ri khrod kyi par khang /" ,
 "http://purl.bdrc.io/resource/MW27296" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG10289" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ1106" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW4PD5171" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW4PD5180" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW3CN26451" , "http://purl.bdrc.io/resource/G2CN10850" , "gnas chung par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ301805" , "http://purl.bdrc.io/resource/G2CN10896" , "sna rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ301724" , "http://purl.bdrc.io/resource/G2CN10896" , "sna rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ301803" , "http://purl.bdrc.io/resource/G2CN10896" , "sna rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ301804" , "http://purl.bdrc.io/resource/G2CN10896" , "sna rtse rdzong par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG14641" , "http://purl.bdrc.io/resource/G3JT12543" , "gong ba grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG4218" , "http://purl.bdrc.io/resource/G3JT12543" , "gong ba grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2534" , "http://purl.bdrc.io/resource/G2CN10880" , "'on chos sdings bla brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW294" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG825" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG9862" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7847" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW30147" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW27476" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW23956" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7842" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW8LS25567" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW447" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ1128" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW5331" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW759" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG8896" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW22344" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1CZ1011" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG21135" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ1099" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2623" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7844" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW30177" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW8602" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302685" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7841" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW27927" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW8239" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW28956" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7845" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW29228" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW20503" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7846" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW3087" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302678" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG22266" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ6023" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7860" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
