 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002786" , "blo gros bzang po/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001680" , "kha stag tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001318" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002630" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002874" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001447" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002529" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002791" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002745" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002752" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001760" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002810" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003029" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002076" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002964" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003040" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002738" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001641" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003036" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002720" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002587" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001569" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002597" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001788" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001627" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003023" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002604" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002733" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002176" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001766" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002684" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002762" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002494" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001753" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002742" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001525" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002948" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002455" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002650" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002610" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002623" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002273" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002865" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002787" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001454" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002825" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002847" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002890" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003092" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002879" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002603" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002477" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002470" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002739" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002491" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002592" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001675" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002775" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001453" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001403" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002625" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001500" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002584" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003121" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001762" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003006" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001498" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002927" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002620" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003027" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002507" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002889" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001764" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003048" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002938" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002627" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002769" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002589" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002785" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003022" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002772" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002868" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002595" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001515" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002606" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002724" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001751" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002528" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002734" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002242" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002831" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002590" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002612" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001440" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002583" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002605" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003356" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002741" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001472" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001767" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002702" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002780" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002569" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002489" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002608" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002834" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001947" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002615" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002490" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002551" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002602" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002773" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002496" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002476" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002770" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002598" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002695" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001942" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001448" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002839" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003025" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002065" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002500" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002688" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002837" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002866" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002559" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002690" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002586" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002512" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002754" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002950" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002892" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003331" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002727" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001572" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002621" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001643" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002969" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002459" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001442" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001661" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002782" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002833" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002736" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002789" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003021" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002323" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003028" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002746" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001664" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002607" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002527" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003039" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002567" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001438" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003376" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002146" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002685" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003000" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002632" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002790" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002760" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003034" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002613" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001789" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001450" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003061" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002835" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001945" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001575" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002600" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002808" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002862" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001366" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002588" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001640" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002270" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002757" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002475" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002353" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002134" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001763" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002763" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001752" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002318" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002622" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002467" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001662" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002984" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002990" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003037" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002538" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002805" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002767" , "gsal kha med/" ,
