location_orig,location_new,name_orig,name_new,url
new delhi,Delhi,siddhartha's intent publication,siddhartha's intent publication,https://www.tbrc.org/#!rid=W1KG1085
new delhi,Delhi,samdrup tshering,samdrup tshering,https://www.tbrc.org/#!rid=W23603
new delhi,Delhi,[lha mkhar yongs 'dzin bstan pa rgyal mtshan],[lha mkhar yongs 'dzin bstan pa rgyal mtshan],https://www.tbrc.org/#!rid=W1KG9580
new delhi,Delhi,western tibetan cultural association,western tibetan cultural association,https://www.tbrc.org/#!rid=W1KG14781
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W1KG19402
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W13536
new delhi,Delhi,p. k. tashi,p. k. tashi,https://www.tbrc.org/#!rid=W1KG9819
new delhi,Delhi,gyalten gelek namgyal,gyalten gelek namgyal,https://www.tbrc.org/#!rid=W2519
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W11208
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W8870
new delhi,Delhi,d. gyaltsen and k. lekshay,d. gyaltsen and k. lekshay,https://www.tbrc.org/#!rid=W21974
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W1KG14
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W1KG3514
new delhi,Delhi,nawang topgay,nawang topgay,https://www.tbrc.org/#!rid=W23752
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG15037
new delhi,Delhi,trulku kunga rimpoche,trulku kunga rimpoche,https://www.tbrc.org/#!rid=W23611
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W22109
new delhi,Delhi,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W23879
new delhi,Delhi,trulku kunga rinpoche,trulku kunga rinpoche,https://www.tbrc.org/#!rid=W23612
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W30344
new delhi,Delhi,rta-rna bla-ma,rta-rna bla-ma,https://www.tbrc.org/#!rid=W30347
new delhi,Delhi,don 'grub rdo rje/,don 'grub rdo rje/,https://www.tbrc.org/#!rid=W23477
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W1KG4593
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W1KG10436
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W23957
new delhi,Delhi,paljor publications,paljor publications,https://www.tbrc.org/#!rid=W00EGS1017203
new delhi,Delhi,eighth khams-sprul don-brgyud-ni-ma,eighth khams-sprul don-brgyud-ni-ma,https://www.tbrc.org/#!rid=W1KG22344
new delhi,Delhi,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,https://www.tbrc.org/#!rid=W30179
new delhi,Delhi,patshang lama sonam gyaltsen,patshang lama sonam gyaltsen,https://www.tbrc.org/#!rid=W8751
new delhi,Delhi,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,https://www.tbrc.org/#!rid=W30180
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W29468
new delhi,Delhi,"tibet House,","tibet House,",https://www.tbrc.org/#!rid=W4CZ15391
new delhi,Delhi,sharadi rani,sharadi rani,https://www.tbrc.org/#!rid=W30285
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W4CZ1687
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W30156
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W20548
new delhi,Delhi,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W1GS88389
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W22103
new delhi,Delhi,chophel legdan,chophel legdan,https://www.tbrc.org/#!rid=W29007
new delhi,Delhi,urgyan dorje,urgyan dorje,https://www.tbrc.org/#!rid=W30121
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W1KG24214
new delhi,Delhi,trulku kuenga rinpoche,trulku kuenga rinpoche,https://www.tbrc.org/#!rid=W23604
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W10545
new delhi,Delhi,sharadi rani,sharadi rani,https://www.tbrc.org/#!rid=W30131
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W1KG10772
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W10196
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W30102
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W1KG9603
new delhi,Delhi,jamyang samten,jamyang samten,https://www.tbrc.org/#!rid=W1KG10284
new delhi,Delhi,ngawang topgyal,ngawang topgyal,https://www.tbrc.org/#!rid=W1KG10285
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W29250
new delhi,Delhi,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,lha mkhar yongs 'dzin bstan pa rgyal mtshan/,https://www.tbrc.org/#!rid=W1KG550
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W10308
new delhi,Delhi,ldi li Ar chan nA dpar khang,ldi li Ar chan nA dpar khang,https://www.tbrc.org/#!rid=W1KG4855
new delhi,Delhi,ngawang topgyal,ngawang topgyal,https://www.tbrc.org/#!rid=W23780
new delhi,Delhi,ldi li si b+hi Di par khang /,ldi li si b+hi Di par khang /,https://www.tbrc.org/#!rid=W1KG18627
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W30340
new delhi,Delhi,[tshering dargye],[tshering dargye],https://www.tbrc.org/#!rid=W1KG9858
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W30147
