Comai	mtsho smad	措麦	Cuomai
Comai	mtsho smad	措美	Cuomei
Comar	mtsho dmar	措玛	Cuoma
Cona	mtsho sna	错那	Cuona
Cona	mtsho sna	错那	Cuona
Co'nga	mtsho rnga	措瓦	Cuowa
Congdü	tshong 'dus	充堆	Chongdui
Congo	mtsho 'go	错高	Cuogou
Congo	mtsho 'go	错高	Cuogou
Coqên	mtsho chen	措勤	Cuoqin
Coqên	mtsho chen	措勤	Cuoqin
Cora	mtsho rwa	措拉	Cuola
Cosibsumgyi	tsho srib gsum dkyil	楚鲁松杰	Chulusuongjie
Cozhê	tsho 'brel	措折	Cuozhe
Cozhêqangma	tsho sbrel byang ma	南措折	Nancuozha
Dabab	mda' 'bab	达巴	Daba
Dablung	'dab lung	道龙	Daolong
Dagar	rta dkar	达嘎	Daga
Dagdong	stag gdong	达东	Dadong
Daglung	stag lung	达龙	Dalong
Daglung	stag lung	打隆	Dalong
Dagmo	stag mo	达木格民族	Damuluominzu
Dagmo	stag mo	当毛	Dangmao
Dagmoxar	stag mo shar	达木夏	Damuxia
Dagna	stag sna	达那	Dana
Dagring	ltag ring	达仁	Daren
Dagrong	gdags rong	达龙	Dalong
Dagsar	stag gsar	达萨	Dasa
Dagtang	ltag thang	达塘	Datang
Da'gyü	rta rgyud	达局	Daju
Dagzê	stag rtse	达孜	Dazi
Dagzê	stag rtse	达孜	Dazi
Dagzê	stag rtse	达孜	Dazi
Dagzê	stag rtse	达孜	Dazi
Dagzong	ltag rdzong	大众	Dazhong
Daingyailing	bstan rgyas gling	丹杰林	Danjielin
Damdoi	gtam stod	当堆	Dangdui
Damnyain	gtam snyan	丹娘	Danniang
Damquka	'dam chu kha	当曲卡	Dangquka
Damxoi	gtam zhol	当许	Dangxu
Damxung	'dam gshung	当木雄	Dangmuxiong
Damxung	'dam gzhung	当雄	Dangxiong
Danagda	rta nag mda'	达那达	Danada
Danagpu	rta nag phu	达那普	Danapu
Darado	rta rwa mdo	达然多	Daranduo
Dargo	bstar sgo	达谷	Dagu
Darog	rta rog	达若	Daruo
Darqên	star chen	达前	Daqian
Dawa	zla ba	达瓦	Dawa
Dê'gyi	bde skyid	德吉	Deji
Dê'gyiling	bde skyid gling	德吉林	Dejilin
Dêm	ldem	登木	Dengmu
Dêmba	'dems pa	登巴	Dengba
Dêmqog	bde mchog	德觉	Dejue
Dêngba	gdengs pa	当巴	Dangba
Dênggar	steng dkar	旦嘎	Dangga
