		Gungthang	G1338
		Lhasa	G2800
			Yangrigang Monastery	G5PL173
		Kyirong	G2161
	Ngari	G571
		Mangyul	G3166
Mongolia	G584
	Inner Mongolia	G603
	Ulaanbaatar	G2CN11044
	Khalkha	G1395
	Takure Monastery	G1979
Bhutan	G3205
	Bumthang	G4716
		Jakar Dzong	G5PL63
		Tharpaling Monastery	G5PL155
	Thimphu	G4706
		Tango	G218
		Tashichhoedzong Monastery	G1TD12
		Simtokha	G5PL141
	Gasa	G5PL195
		Laya	G388
	Tashigang	G1TD42
		Bidung	G5PL12
	Sarpang	G5PL196
		Gelephu	G5PL48
	Punakha	G54
	Paro	G836
		Drukgyel Dzong	G5PL37
		Paro Taktsang	G2876
		Kyichu Temple	G1TD43
	Trongsa	G4713
	Chukha	G5PL197
		Phuentsholing	G5PL114
Nepal	G4450
	Kathmandu	G2CN11080
		Pharping	G5PL113
			Ganeshthan	G5PL43
		Swayambhunath	G3156
		Bouddhanath	G00KG09762
	Pokhara	G5PL116
	Solukhumbu	G2490
	Mustang	G00EGS1017242
	Rupandehi	G5PL124
		Lumbini	G2MS14675
			Siddharthanagar	G5PL138
India	G3188
	Delhi	G5PL30
		Majnu-ka-tilla	G5PL86
		Ballimaran	G5PL7
		Inder Puri	G5PL60
	Sikkim	G1398
		Tadong	G5PL150
		Gangtok	G5PL45
			Deorali	G5PL33
			Palace Monastery	G5PL109
		East Sikkim	G5PL198
			Rumtek	G1PD110071
	Karnataka	G5PL68
		Mysore	G5PL98
			Bylakuppe	G5PL19
		Kollegal	G5PL72
			Dhondenling Tibetan Settlement	G5PL34
			Tana Monastery	G5PL199
		Bangalore	G5PL8
		Kanara	G5PL66
			North Kanara	G5PL200
				Karwar	G5PL201
					Mundgod	G5PL96
						Gaden Shartse Monastery (India)	G5PL42
		Hunsur	G5PL202
			Gurupura	G5PL54
	Himachal Pradesh	G5PL203
		Kangra	G5PL67
			Dharamsala	G3JT12630
				McLeod Ganj	G5PL92
				Sarah	G5PL129
				Sherig Parkhang	G3JT12587
				Gangchen Kyishong	G5PL44
				Sidhbari	G5PL139
			Sansal	G5PL127
			Palampur	G5PL110
				Tashijong	G3JT12558
			Baijnath	G5PL204
				Bhattu	G5PL205
					Upper Bhattu	G5PL164
			Sidhpur	G5PL140
			Bir	G3CN1562
				Dzongsar Shedra (India)	G5PL38
				Tibetan Khampa Industrial Society	G5PL158
				The Bir Tibetan Society	G5PL156
		Mandi	G5PL88
			Chauntra	G5PL24
			Rewalsar	G5PL121
		Kullu	G5PL75
			Manali	G5PL87
		Kinnaur	G4168
		Lahaul-Spiti	G5PL78
			Spiti	G3CN32
				Losar	G5PL83
				Tabo Monastery	G1KG17626
				Sumra (H.P.)	G5PL148
			Lahaul	G5PL206
				Kawring	G5PL69
					Gemur	G5PL49
						Gemur Monastery	G5PL50
		Solan	G3CN1568
			Kotla Panjola	G5PL73
			Ochghat	G5PL105
				Dolanji	G3CN1567
		Chamba	G5PL207
			Dalhousie	G5PL27
		Shimla	G5PL135
			Sanjauli	G5PL126
	Jammu and Kashmir	G5PL208
		Ladakh	G3182
			Leh	G1085
				Nemo	G4584
				Spituk Monastery	G5PL145
			Basgo	G5PL9
			Saspul	G5PL130
			Kargil	G5PL209
				Zanskar	G867
			Hemis	G5PL176
				Hemis Monastery	G00JR3353
			Stakna Monastery	G5PL147
	Uttarakhand	G5PL175
		Dehradun	G5PL29
			Selaqui	G5PL132
			Mussoorie	G5PL97
			Rajpur	G5PL120
			Clement Town	G5PL26
		Manduwala	G5PL89
	Bihar	G5PL210
		Gaya	G5PL47
			Bodhgaya	G2GS1037
		Buxar	G5PL18
	South India	G5PL144
	Arunachar Pradesh	G5PL211
		Tawang	G3529
		Lohit	G5PL212
			Tezu	G5PL154
	West Bengal	G5PL213
		Santiniketan	G5PL128
		Kolkata	G5PL71
		Darjeeling	G5PL28
			Sonada	G5PL143
			Mirik	G5PL94
			Tibetan Freedom Press	G5PL157
		Buxa	G5PL17
		Kalimpong	G3JT12629
			Shri Diwakar Vihara	G5PL137
	Chhattisgarh	G5PL214
		Mainpat	G5PL85
	Uttar Pradesh	G5PL215
		Varanasi	G2CN10953
			maldahiya	G5PL216
		Sarnath	G1PD110102
			Khajuhi	G5PL70
	Orissa	G5PL217
		Ganjam	G5PL218
			Jeerango	G5PL64
