 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G4325" , "'dzam thang dar sku 'byor 'gos thang" ,
 "http://purl.bdrc.io/resource/G529" , "'dzam thang dgon pa/" ,
 "http://purl.bdrc.io/resource/G62" , "yang ri sgar/" ,
 "http://purl.bdrc.io/resource/G62" , "Yangri Gar" ,
 "http://purl.bdrc.io/resource/G62" , 羊日岗寺 ,
 "http://purl.bdrc.io/resource/G62" , 羊玛日寺/艾玛日寺 ,
 "http://purl.bdrc.io/resource/G62" , "yangmari si/aimari si" ,
 "http://purl.bdrc.io/resource/G62" , "yangrigang si" ,
 "http://purl.bdrc.io/resource/G1344" , "stod lung" ,
 "http://purl.bdrc.io/resource/G1344" , "skyid shod stod lung" ,
 "http://purl.bdrc.io/resource/G4166" , "thar pa gling" ,
 "http://purl.bdrc.io/resource/G4166" , "'brug yul thar pa gling" ,
 "http://purl.bdrc.io/resource/G47" , "bde chen chos 'khor/" ,
 "http://purl.bdrc.io/resource/G47" , 德庆曲果寺 ,
 "http://purl.bdrc.io/resource/G47" , "Dechen Chokhor" ,
 "http://purl.bdrc.io/resource/G47" , "'brug bde chen chos 'khor/" ,
 "http://purl.bdrc.io/resource/G47" , "deqing quguo si" ,
 "http://purl.bdrc.io/resource/G50" , "khams pa sgar/" ,
 "http://purl.bdrc.io/resource/G50" , "sga nyag khams pa sgar/" ,
 "http://purl.bdrc.io/resource/G50" , "sga nyag khams pa sgar་thub bstan phun tshogs gling" ,
 "http://purl.bdrc.io/resource/G50" , "thub bstan phun tshogs gling" ,
 "http://purl.bdrc.io/resource/G50" , "'brug dgon khams pa sgar/" ,
 "http://purl.bdrc.io/resource/G237" , "se ra smad grwa tshang" ,
 "http://purl.bdrc.io/resource/G237" , "Serame Dratsang" ,
 "http://purl.bdrc.io/resource/G237" , "ser smad grwa tshang" ,
 "http://purl.bdrc.io/resource/G4259" , "bye ma thang" ,
 "http://purl.bdrc.io/resource/G4259" , "rgyal rong bye ma thang" ,
 "http://purl.bdrc.io/resource/G2800" , "lha sa/" ,
 "http://purl.bdrc.io/resource/G2800" , "Lhasa" ,
 "http://purl.bdrc.io/resource/G2800" , 拉萨 ,
 "http://purl.bdrc.io/resource/G2800" , "lha sa grong khyer/" ,
 "http://purl.bdrc.io/resource/G2800" , "lha ldan/" ,
 "http://purl.bdrc.io/resource/G2800" , 城关区 ,
 "http://purl.bdrc.io/resource/G2800" , "ra sa/ （dus rabs 7 pa tsam la）" ,
 "http://purl.bdrc.io/resource/G2800" , "Lhasa Urban" ,
 "http://purl.bdrc.io/resource/G2800" , "lasa" ,
 "http://purl.bdrc.io/resource/G2800" , "Lhasa City" ,
 "http://purl.bdrc.io/resource/G2800" , 拉萨市(城关区) ,
 "http://purl.bdrc.io/resource/G2800" , "luoxie (7-9 shiji)" ,
 "http://purl.bdrc.io/resource/G2800" , "lha sa grong khyer nang khul/" ,
 "http://purl.bdrc.io/resource/G2800" , "khrin kon chus/" ,
 "http://purl.bdrc.io/resource/G2800" , "cheng guan qu" ,
 "http://purl.bdrc.io/resource/G2800" , "逻些 (7-9世纪)" ,
 "http://purl.bdrc.io/resource/G2800" , "la sa shi (cheng guan qu)" ,
 "http://purl.bdrc.io/resource/G46" , "gsang sngags chos gling" ,
 "http://purl.bdrc.io/resource/G46" , 三安曲林寺 ,
 "http://purl.bdrc.io/resource/G46" , "Sanga Choling" ,
 "http://purl.bdrc.io/resource/G46" , "san'an qulin si" ,
 "http://purl.bdrc.io/resource/G46" , "byar gsang sngags chos gling" ,
 "http://purl.bdrc.io/resource/G4245" , "bkra shis lhun po rgyud pa grwa tshang" ,
 "http://purl.bdrc.io/resource/G3157" , 嘎东寺 ,
 "http://purl.bdrc.io/resource/G3157" , "Gadong Monastery" ,
 "http://purl.bdrc.io/resource/G3157" , "dga' sdong dgon/" ,
 "http://purl.bdrc.io/resource/G3157" , "dga' gdong dgon/" ,
 "http://purl.bdrc.io/resource/G3157" , "gtsang dga' ba gdong /" ,
 "http://purl.bdrc.io/resource/G3157" , "gadong si" ,
