 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G1KR1648" , "Padma Choling" ,
 "http://purl.bdrc.io/resource/G1KR1648" , "pad+ma chos gling dgon/" ,
 "http://purl.bdrc.io/resource/G1KR1648" , "dpal mo chos lding" ,
 "http://purl.bdrc.io/resource/G1KR1648" , "bde chen dpal mo chos lding" ,
 "http://purl.bdrc.io/resource/G2203" , 卓尼县 ,
 "http://purl.bdrc.io/resource/G2203" , "co ne rdzong" ,
 "http://purl.bdrc.io/resource/G2203" , "zhuoni xian" ,
 "http://purl.bdrc.io/resource/G3JT12605" , "dbang 'dus pho brang gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12605" , "dbang 'dus pho brang chos 'khor rab brtan rtse'i par khang" ,
 "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang" ,
 "http://purl.bdrc.io/resource/G1KG15418" , "gnas rnying par khang" ,
 "http://purl.bdrc.io/resource/G2DB25457" , "punjab" ,
 "http://purl.bdrc.io/resource/G2DB25457" , "pan 'jab/" ,
 "http://purl.bdrc.io/resource/G3JT12502" , "byams pa chos gling gzhis ka'i par khang" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "ta po dgon/" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "Tabo Monastery" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "ta pho dgon/" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "dpal bkra shis bde gnas gtsug lag khang" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "tabo choskhor monastery" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "spyi ti ta po'i dpal bkra shis bde gnas gtsug lag khang" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "spi ti ta po'i dpal bkra shis bde gnas gtsug lag khang" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "spi ti ta dgon/" ,
 "http://purl.bdrc.io/resource/G1KG17626" , "spi ti ta dgon theg chen chos gling" ,
 "http://purl.bdrc.io/resource/G3JT12565" , "bde chen chos 'khor par khang" ,
 "http://purl.bdrc.io/resource/G3JT12621" , "gtsang pa khams tshan gyi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12621" , "'bras blo gling gtsang pa khams tshan gyi par khang" ,
 "http://purl.bdrc.io/resource/G00JR694" , "gnyan yul dgon/" ,
 "http://purl.bdrc.io/resource/G4492" , 郎依寺 ,
 "http://purl.bdrc.io/resource/G4492" , "sna steng dgon/" ,
 "http://purl.bdrc.io/resource/G4492" , "snang zhig dgon/" ,
 "http://purl.bdrc.io/resource/G4492" , "langyi si" ,
 "http://purl.bdrc.io/resource/G4492" , "snang zhig lcags mdud bkra shis g.yung drung gling" ,
 "http://purl.bdrc.io/resource/G4492" , "duihe si" ,
 "http://purl.bdrc.io/resource/G4492" , 对河寺 ,
 "http://purl.bdrc.io/resource/G003JR177" , "gtso tshang dgon/" ,
 "http://purl.bdrc.io/resource/G003JR177" , "gtso tshang smin grol bstan rgyas gling" ,
 "http://purl.bdrc.io/resource/G003JR177" , "gtso dgon smin grol bstan rgyas gling" ,
 "http://purl.bdrc.io/resource/G4494" , "rin spungs dgon/" ,
 "http://purl.bdrc.io/resource/G4494" , 林坡寺 ,
 "http://purl.bdrc.io/resource/G4494" , "linpo si" ,
 "http://purl.bdrc.io/resource/G003JR176" , "byang bya dur gnas ri/" ,
 "http://purl.bdrc.io/resource/G003JR176" , "byang phyogs bya dur gnas ri/" ,
 "http://purl.bdrc.io/resource/G003JR176" , "mdo smad gnas chen byang phyogs bya dur/" ,
 "http://purl.bdrc.io/resource/G003JR175" , "rdo ma Ni gnas ri/" ,
 "http://purl.bdrc.io/resource/G003JR175" , "shar dung ri'i gnas khang rdo ma Ni/" ,
 "http://purl.bdrc.io/resource/G3869" , "dung ri/" ,
 "http://purl.bdrc.io/resource/G3869" , "shar dung ri/" ,
 "http://purl.bdrc.io/resource/G3869" , "shar gnyan dung rtse dkar po/" ,
 "http://purl.bdrc.io/resource/G3869" , "gangs dkar rtse 'dus/" ,
 "http://purl.bdrc.io/resource/G1KR9" , 烟冲寺 ,
 "http://purl.bdrc.io/resource/G1KR9" , "mnyam 'dzom dgon/" ,
 "http://purl.bdrc.io/resource/G1KR9" , "mnyam 'dzom rnyi ma'i bkra shis dgon/" ,
 "http://purl.bdrc.io/resource/G1KR9" , 烟囱寺 ,
 "http://purl.bdrc.io/resource/G1KR9" , "yanchong si" ,
 "http://purl.bdrc.io/resource/G1KR9" , "yancong si" ,
 "http://purl.bdrc.io/resource/G003JR174" , "gong ma khis/" ,
 "http://purl.bdrc.io/resource/G003JR174" , "shar dung ri'i gong ma khis/" ,
 "http://purl.bdrc.io/resource/G4496" , "dga' mal dgon/" ,
 "http://purl.bdrc.io/resource/G00JR692" , 茸贡寺 ,
 "http://purl.bdrc.io/resource/G00JR692" , "ri dgon/" ,
 "http://purl.bdrc.io/resource/G00JR692" , "rong dgon/" ,
 "http://purl.bdrc.io/resource/G00JR692" , "ri dgon bkra shis lhun grub gling" ,
 "http://purl.bdrc.io/resource/G00JR692" , "rong dgon bkra shis lhun grub gling" ,
 "http://purl.bdrc.io/resource/G00JR692" , "rus sbal dgon (yul skad)" ,
 "http://purl.bdrc.io/resource/G00JR692" , "ronggong si" ,
 "http://purl.bdrc.io/resource/G00JR692" , "ki rti'i ma dgon/" ,
 "http://purl.bdrc.io/resource/G003JR173" , "gser mtsho" ,
 "http://purl.bdrc.io/resource/G003JR173" , "shar dung ri'i gser mtsho" ,
 "http://purl.bdrc.io/resource/G00JR695" , "sa dmar gser gling dgon/" ,
 "http://purl.bdrc.io/resource/G00JR691" , 董日寺 ,
 "http://purl.bdrc.io/resource/G00JR691" , "shar dung ri dgon/" ,
 "http://purl.bdrc.io/resource/G00JR691" , "dongri si" ,
 "http://purl.bdrc.io/resource/G00JR691" , 雪宝顶寺 ,
 "http://purl.bdrc.io/resource/G00JR691" , "xuebaoding si" ,
 "http://purl.bdrc.io/resource/G00JR691" , "shar dung ri dgon gsang chen smin grol bde chen gling" ,
 "http://purl.bdrc.io/resource/G00JR691" , "gsang chen smin grol bde chen gling" ,
 "http://purl.bdrc.io/resource/G3CN8454" , "gdong dga' chos sde/" ,
 "http://purl.bdrc.io/resource/G3CN8454" , "sa skya gdong dga' chos sde rig grol phun tshogs gling /" ,
 "http://purl.bdrc.io/resource/G3CN8454" , "gdong chos rab brtan rtse/" ,
 "http://purl.bdrc.io/resource/G3JT12620" , "dga' ldan 'phel rgyas gling gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12620" , "ri rdzong dgon pa'i par khang" ,
 "http://purl.bdrc.io/resource/G2155" , "dge rgyas rdzong" ,
 "http://purl.bdrc.io/resource/G2155" , 革吉县 ,
 "http://purl.bdrc.io/resource/G2155" , "Gegye county" ,
 "http://purl.bdrc.io/resource/G2155" , "geji xian" ,
 "http://purl.bdrc.io/resource/G2490" , "so lu khum bu/" ,
 "http://purl.bdrc.io/resource/G2490" , "solukhumbu" ,
 "http://purl.bdrc.io/resource/G2490" , "shar khum bu/" ,
 "http://purl.bdrc.io/resource/G2490" , "ser lo khum bu/" ,
 "http://purl.bdrc.io/resource/G3JT12539" , "bkra shis chos spel gling gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12622" , "zhe chen dgon pa'i par khang" ,
 "http://purl.bdrc.io/resource/G3JT12622" , "zhe chen bstan gnyis dar rgyas gling gyi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12622" , "ze chen dgon pa'i par khang" ,
 "http://purl.bdrc.io/resource/G2CN10860" , "dga' ldan shar rtse grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12595" , "gzim hor khang gi par khang" ,
 "http://purl.bdrc.io/resource/G3957" , 石渠县 ,
 "http://purl.bdrc.io/resource/G3957" , "rdza chu kha rdzong" ,
 "http://purl.bdrc.io/resource/G3957" , "shiqu xian" ,
 "http://purl.bdrc.io/resource/G2128" , "chu shur rdzong" ,
 "http://purl.bdrc.io/resource/G2128" , 曲水县 ,
 "http://purl.bdrc.io/resource/G2128" , "Chushur County" ,
 "http://purl.bdrc.io/resource/G2128" , "qushui xian" ,
 "http://purl.bdrc.io/resource/G3JT12538" , "hu re'i par khang" ,
 "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12618" , "krong gsar chos 'khor rab brtan rtse'i par khang" ,
 "http://purl.bdrc.io/resource/G2CN10858" , "bkra shis chos gling gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12524" , "bkra shis lhun grub kyi par khang" ,
 "http://purl.bdrc.io/resource/G2GS1037" , "rdo rje gdan/" ,
 "http://purl.bdrc.io/resource/G2GS1037" , "vajrāsana" ,
 "http://purl.bdrc.io/resource/G2GS1037" , "Bodhgaya" ,
 "http://purl.bdrc.io/resource/G2GS1037" , "mahabodhi stupa" ,
 "http://purl.bdrc.io/resource/G2GS1089" , "rma 'gram rdo rje brag" ,
 "http://purl.bdrc.io/resource/G2GS1089" , "rdo rje brag" ,
 "http://purl.bdrc.io/resource/G3214" , 阿尼玛卿雪山 ,
 "http://purl.bdrc.io/resource/G3214" , "a myes rma chen/" ,
 "http://purl.bdrc.io/resource/G3214" , "ani maqin xueshan" ,
 "http://purl.bdrc.io/resource/G3214" , "rma rgyal gangs ri/" ,
 "http://purl.bdrc.io/resource/G3214" , "rma chen spom ra/" ,
 "http://purl.bdrc.io/resource/G3214" , "rma rgyal spom ra/" ,
 "http://purl.bdrc.io/resource/G00KG09762" , "boudhanath" ,
 "http://purl.bdrc.io/resource/G00KG09762" , "bya rung kha shor/" ,
 "http://purl.bdrc.io/resource/G00KG09762" , "bya rung kha shor mchod rten/" ,
 "http://purl.bdrc.io/resource/G00KG09762" , "mthong grol mchod rten chen mo/" ,
 "http://purl.bdrc.io/resource/G1PD83959" , "brag dkar sprel rdzong" ,
 "http://purl.bdrc.io/resource/G1PD83959" , "gnas chen brag dkar sprel rdzong" ,
 "http://purl.bdrc.io/resource/G2154" , "spu hreng rdzong" ,
 "http://purl.bdrc.io/resource/G2154" , 普兰县 ,
 "http://purl.bdrc.io/resource/G2154" , "Purang county" ,
 "http://purl.bdrc.io/resource/G2154" , "pulan xian" ,
 "http://purl.bdrc.io/resource/G2154" , "pu hrang rdzong" ,
 "http://purl.bdrc.io/resource/G2154" , "pu rang rdzong" ,
 "http://purl.bdrc.io/resource/G1KR1829" , "khyung lung dgon/" ,
 "http://purl.bdrc.io/resource/G1KR1829" , "Khyunglung Gon" ,
 "http://purl.bdrc.io/resource/G1KR1829" , 琼龙寺 ,
 "http://purl.bdrc.io/resource/G1KR1829" , "khyung lung dga' ldan lha rtse/" ,
 "http://purl.bdrc.io/resource/G1KR1829" , "qionglong si" ,
 "http://purl.bdrc.io/resource/G3247" , 吉罗娑山 ,
 "http://purl.bdrc.io/resource/G3247" , "ti se/" ,
 "http://purl.bdrc.io/resource/G3247" , "Mount Kailash" ,
 "http://purl.bdrc.io/resource/G3247" , "kailasa" ,
 "http://purl.bdrc.io/resource/G3247" , "gangs rin po che/" ,
 "http://purl.bdrc.io/resource/G3247" , 冈仁波齐峰 ,
 "http://purl.bdrc.io/resource/G3247" , "Mount Kailas" ,
 "http://purl.bdrc.io/resource/G3247" , "gangs dkar ti se/" ,
 "http://purl.bdrc.io/resource/G3247" , "gangs ti se/" ,
 "http://purl.bdrc.io/resource/G3247" , "Gang Rinpoche" ,
 "http://purl.bdrc.io/resource/G3247" , "Kailāśā Parvata" ,
 "http://purl.bdrc.io/resource/G3156" , "swayambhunath" ,
 "http://purl.bdrc.io/resource/G3156" , "'phags pa shing kun/" ,
 "http://purl.bdrc.io/resource/G3156" , "'phags shing mchod rten/" ,
 "http://purl.bdrc.io/resource/G3156" , "rang byung mchod rten chen po/" ,
 "http://purl.bdrc.io/resource/G1701" , "mgo log rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G1701" , 果洛州 ,
 "http://purl.bdrc.io/resource/G1701" , "guoluo zhou" ,
 "http://purl.bdrc.io/resource/G1701" , "'gu log khul/" ,
 "http://purl.bdrc.io/resource/G1701" , "mgo log khul/" ,
 "http://purl.bdrc.io/resource/G1701" , "mgo log bod rigs rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G1PD5303" , 乐都县 ,
 "http://purl.bdrc.io/resource/G1PD5303" , "gro tshang rdzong" ,
 "http://purl.bdrc.io/resource/G1PD5303" , "ledu xian" ,
 "http://purl.bdrc.io/resource/G1PD5303" , "lu'o tu'u rdzong" ,
 "http://purl.bdrc.io/resource/G1PD5303" , "lung mdo rdzong" ,
 "http://purl.bdrc.io/resource/G2332" , 黑水县 ,
 "http://purl.bdrc.io/resource/G2332" , "khro chu rdzong" ,
 "http://purl.bdrc.io/resource/G2332" , "heishui xian" ,
 "http://purl.bdrc.io/resource/G3JT12519" , "ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12519" , "u rge ri bo dge rgyas dga' ldan bshad sgrub gling gi par khang" ,
 "http://purl.bdrc.io/resource/G2CN10869" , "bzhi sde grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G1KG15421" , "gong dkar rdo rje gdan gyi par khang" ,
 "http://purl.bdrc.io/resource/G1KG15421" , "gong dkar chos sde'i par khang" ,
 "http://purl.bdrc.io/resource/G1PD108531" , "khang dmar dgon/" ,
 "http://purl.bdrc.io/resource/G1PD108531" , "tsha kho khang dmar dgon/" ,
 "http://purl.bdrc.io/resource/G2330" , 马尔康县 ,
 "http://purl.bdrc.io/resource/G2330" , "'bar khams rdzong" ,
 "http://purl.bdrc.io/resource/G2330" , "Barkham County" ,
 "http://purl.bdrc.io/resource/G2330" , "maerkang xian" ,
 "http://purl.bdrc.io/resource/G1KG12778" , "spungs thang par khang /" ,
 "http://purl.bdrc.io/resource/G1KG12778" , "punakha parkhang" ,
 "http://purl.bdrc.io/resource/G1KG12778" , "'brug spungs thang par khang /" ,
 "http://purl.bdrc.io/resource/G3JT12588" , "gzim rdo ring gi par khang" ,
 "http://purl.bdrc.io/resource/G4751" , "lho brag bkra shis chos gling" ,
 "http://purl.bdrc.io/resource/G4751" , "bkra shis chos gling (lho brag)" ,
 "http://purl.bdrc.io/resource/G2488" , "na steng dgon/" ,
 "http://purl.bdrc.io/resource/G2493" , "bkra shis chos gling dgon/" ,
 "http://purl.bdrc.io/resource/G2493" , "lho brag bkra shis chos gling dgon/" ,
 "http://purl.bdrc.io/resource/G1PD108961" , 西藏 ,
 "http://purl.bdrc.io/resource/G1PD108961" , "bod ljongs/" ,
 "http://purl.bdrc.io/resource/G1PD108961" , "TAR" ,
 "http://purl.bdrc.io/resource/G1PD108961" , "bod rang skyong ljongs/" ,
 "http://purl.bdrc.io/resource/G1PD108961" , 西藏自治区 ,
 "http://purl.bdrc.io/resource/G1PD108961" , "Tibetan Autonomous Region" ,
 "http://purl.bdrc.io/resource/G3CN75" , "Nyangro" ,
 "http://purl.bdrc.io/resource/G3CN75" , "myang ro/" ,
 "http://purl.bdrc.io/resource/G3CN75" , "myang yul/" ,
 "http://purl.bdrc.io/resource/G3CN75" , "nyang ro/" ,
 "http://purl.bdrc.io/resource/G2CN10902" , "brag dkar rta so'i par khang" ,
 "http://purl.bdrc.io/resource/G2CN10843" , "'bras spungs blo gsal gling grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G2317" , 海南州 ,
 "http://purl.bdrc.io/resource/G2317" , "mtsho lho rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G2317" , "South Kokonor Prefecture" ,
 "http://purl.bdrc.io/resource/G2317" , "mtsho lho bod rigs rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G2317" , "hainan zhou" ,
 "http://purl.bdrc.io/resource/G2317" , "mtsho lho khul/" ,
 "http://purl.bdrc.io/resource/G2317" , "south kokonor autonomous tibetan prefecture" ,
 "http://purl.bdrc.io/resource/G2CN10867" , "grib tshe mchog gling grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12612" , "gro bo lung dgon gyi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12507" , "dga' ldan dgon pa'i par khang" ,
 "http://purl.bdrc.io/resource/G3JT12507" , "ri bo dga' ldan dgon pa'i par khang" ,
 "http://purl.bdrc.io/resource/G3263" , "mog pa lha rtse/" ,
 "http://purl.bdrc.io/resource/G3263" , "mog par lha rtse/" ,
 "http://purl.bdrc.io/resource/G2659" , "gnas mdo dgon/" ,
 "http://purl.bdrc.io/resource/G2659" , 乃多寺 ,
 "http://purl.bdrc.io/resource/G2659" , "gnas mdo gsang sngags chos 'phel gling /" ,
 "http://purl.bdrc.io/resource/G2659" , "ngom gnas mdo dgon/" ,
 "http://purl.bdrc.io/resource/G2659" , "naiduo si" ,
 "http://purl.bdrc.io/resource/G2659" , "gnas mdo gsang sngags bde chen dar rgyas gling /" ,
 "http://purl.bdrc.io/resource/G2659" , "gnas mdo dgon khra 'od bde chen gling /" ,
 "http://purl.bdrc.io/resource/G2659" , "nianduo si" ,
 "http://purl.bdrc.io/resource/G2659" , 年多寺 ,
 "http://purl.bdrc.io/resource/G2659" , "sdom kha'i gnas mdo khra 'od bde chen gling /" ,
 "http://purl.bdrc.io/resource/G2659" , "gnas mdo gsang sngags bde chen gling /" ,
 "http://purl.bdrc.io/resource/G3JT12523" , "skyid grong bsam gtan gling par khang" ,
 "http://purl.bdrc.io/resource/G3JT12523" , "bal yul skyid rong bsam gtan gling par khang" ,
 "http://purl.bdrc.io/resource/G2199" , "kan lho rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G2199" , "Gannan Prefecture" ,
 "http://purl.bdrc.io/resource/G2199" , 甘南州 ,
 "http://purl.bdrc.io/resource/G2199" , "Gannan Tibetan Autonomous Prefecture" ,
 "http://purl.bdrc.io/resource/G2199" , 甘南藏族自治州 ,
 "http://purl.bdrc.io/resource/G2199" , "gannan zhou" ,
 "http://purl.bdrc.io/resource/G2199" , "kan lho bod rigs rang skyong khul/" ,
 "http://purl.bdrc.io/resource/G2199" , "kan lho khul/" ,
 "http://purl.bdrc.io/resource/G2199" , "gannan zangzu zizhi zhou" ,
 "http://purl.bdrc.io/resource/G2CN10864" , "rgyud stod grwa tshang gi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12509" , "brag dkar dgon gyi par khang" ,
 "http://purl.bdrc.io/resource/G3JT12509" , "dkar mdzes brag dkar dgon gyi par khang" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "Nyingtri City (prefecture level, 2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "nying khri sa khul/" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "林芝市 (地级市，2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "linzhi diqu (1986-2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "林芝地区 (1986-2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "林芝专区 (1960-1963)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "nying khri sa khul/ [(1986-2015)]" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "linzhi shi (diji shi, 2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "linzhi zhuanqu (1960-1963)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "nying khri kron chus/ [(1960-1963)]" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "Nyingtri Prefecture (1986-2015)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "Nyingtri Special Prefecture (1960-1963)" ,
 "http://purl.bdrc.io/resource/G1PD89995" , "nying khri grong khyer/ (sa khul rim pa/ 2015)" ,
 "http://purl.bdrc.io/resource/G2844" , "spos khang dgon/" ,
 "http://purl.bdrc.io/resource/G2844" , 波康寺 ,
 "http://purl.bdrc.io/resource/G2844" , "Pokhang Moanstery" ,
 "http://purl.bdrc.io/resource/G2844" , "jo gdan spos khang dgon/" ,
 "http://purl.bdrc.io/resource/G2844" , "bokang si" ,
 "http://purl.bdrc.io/resource/G2844" , "bokang cuoba" ,
 "http://purl.bdrc.io/resource/G2844" , "nyang stod spos khang dgon/" ,
 "http://purl.bdrc.io/resource/G2844" , "jo stan spos khang dgon/" ,
 "http://purl.bdrc.io/resource/G2844" , 波康措巴 ,
 "http://purl.bdrc.io/resource/G2844" , "spos khang tshogs pa/" ,
 "http://purl.bdrc.io/resource/G603" , "nang sog" ,
 "http://purl.bdrc.io/resource/G603" , "Inner Mongolia" ,
 "http://purl.bdrc.io/resource/G603" , 内蒙 ,
 "http://purl.bdrc.io/resource/G603" , "nang sog rang skyongs ljongs/" ,
 "http://purl.bdrc.io/resource/G603" , "neimenggu zizhizhou" ,
 "http://purl.bdrc.io/resource/G603" , 内蒙古自治州 ,
 "http://purl.bdrc.io/resource/G603" , "neimeng" ,
 "http://purl.bdrc.io/resource/G3JT12601" , "dge ldan bkra shis bde skyong gling gi par khang" ,
 "http://purl.bdrc.io/resource/G2168" , "gam pa rdzong" ,
 "http://purl.bdrc.io/resource/G2168" , 岗巴县 ,
 "http://purl.bdrc.io/resource/G2168" , "Gampa county" ,
 "http://purl.bdrc.io/resource/G2168" , "gangba xian" ,
 "http://purl.bdrc.io/resource/G2CN10868" , "kun bde gling bla brang gi par khang" ,
 "http://purl.bdrc.io/resource/G2CN10882" , "lho brag lha lung dgon gyi par khang" ,
 "http://purl.bdrc.io/resource/G1KG12966" , "ka sbug par khang /" ,
 "http://purl.bdrc.io/resource/G1KG12966" , "ka sbug par ma/" ,
 "http://purl.bdrc.io/resource/G1KG12966" , "ka lim spong par khang /" ,
 "http://purl.bdrc.io/resource/G2187" , 洛隆县 ,
 "http://purl.bdrc.io/resource/G2187" , "lho rong rdzong" ,
 "http://purl.bdrc.io/resource/G2187" , "Lhorong county" ,
 "http://purl.bdrc.io/resource/G2187" , "lho lung rdzong" ,
 "http://purl.bdrc.io/resource/G2187" , "lho rdzong" ,
 "http://purl.bdrc.io/resource/G2187" , "luolong xian" ,
 "http://purl.bdrc.io/resource/G00KG09752" , "Japan" ,
 "http://purl.bdrc.io/resource/G00KG09752" , 日本 ,
 "http://purl.bdrc.io/resource/G00KG09752" , "nyi hong" ,
 "http://purl.bdrc.io/resource/G00KG09752" , "'jar pan/" ,
 "http://purl.bdrc.io/resource/G00KG09752" , 日本 ,
 "http://purl.bdrc.io/resource/G00KG09752" , "ri pin/" ,
 "http://purl.bdrc.io/resource/G00KG09752" , "ri ben" ,
 "http://purl.bdrc.io/resource/G3JT12527" , "hUMH chen gling pa'i par khang" ,
 "http://purl.bdrc.io/resource/G3JT12527" , "hUMH chen gling pa'i par ma/" ,
 "http://purl.bdrc.io/resource/G4663" , "nub ri/" ,
 "http://purl.bdrc.io/resource/G2309" , 泸定县 ,
 "http://purl.bdrc.io/resource/G2309" , "lcags zam rdzong" ,
 "http://purl.bdrc.io/resource/G2309" , "luding xian" ,
 "http://purl.bdrc.io/resource/G2890" , "tsa ri ri khrod/" ,
 "http://purl.bdrc.io/resource/G2890" , "tsA ri tra/" ,
 "http://purl.bdrc.io/resource/G3624" , "pad+ma shel phug" ,
 "http://purl.bdrc.io/resource/G3624" , "rdzogs chen dbang gi gnas mchog pad+ma shel phug" ,
 "http://purl.bdrc.io/resource/G3625" , "dkar mo stag tshang sgrub sde/" ,
 "http://purl.bdrc.io/resource/G3625" , "'chi med dkar mo stag tshang" ,
 "http://purl.bdrc.io/resource/G3625" , "rong me dkar mo stag tshang" ,
 "http://purl.bdrc.io/resource/G3627" , "g.yung drung rnam bkod/" ,
 "http://purl.bdrc.io/resource/G3627" , "g.yung drung rnam par bkod pa'i gnas mchog" ,
 "http://purl.bdrc.io/resource/G3627" , "bu le'i mchod rten dgu brtsegs/" ,
 "http://purl.bdrc.io/resource/G012AG03591" , "khra mo brag" ,
 "http://purl.bdrc.io/resource/G3828" , 仲学寺 ,
 "http://purl.bdrc.io/resource/G3828" , "rdzong shod dgon/" ,
 "http://purl.bdrc.io/resource/G3828" , "rdzong shod bde gshegs 'dus pa'i pho brang" ,
 "http://purl.bdrc.io/resource/G3828" , "bde gshegs 'dus pa'i pho brang" ,
 "http://purl.bdrc.io/resource/G3828" , "zhongxue si" ,
 "http://purl.bdrc.io/resource/G3621" , "rdzong chen khams phug" ,
 "http://purl.bdrc.io/resource/G2867" , 拉孜寺 ,
 "http://purl.bdrc.io/resource/G2867" , "khams lha rtse dgon/" ,
 "http://purl.bdrc.io/resource/G2867" , "lha rtse dgon/" ,
 "http://purl.bdrc.io/resource/G2867" , 边坝寺 ,
 "http://purl.bdrc.io/resource/G2867" , 边坝县拉孜寺 ,
 "http://purl.bdrc.io/resource/G2867" , "bianba xian lazi si" ,
 "http://purl.bdrc.io/resource/G2867" , "dpal 'bar rdzong lha rtse dgon/" ,
 "http://purl.bdrc.io/resource/G2867" , "bianba si" ,
 "http://purl.bdrc.io/resource/G2867" , "lazi si" ,
 "http://purl.bdrc.io/resource/G012AG03492" , "'ba' lung gangs mtsho" ,
 "http://purl.bdrc.io/resource/G012AG03492" , "'ba' lung gangs mtsho gnyan po/" ,
 "http://purl.bdrc.io/resource/G3622" , "a lo dpal de'u/" ,
 "http://purl.bdrc.io/resource/G4811" , "dge ri/" ,
 "http://purl.bdrc.io/resource/G4811" , "dge ri (gnyal)" ,
 "http://purl.bdrc.io/resource/G2CN11103" , "bde chen 'bur mo/" ,
 "http://purl.bdrc.io/resource/G2CN11103" , "gnas yul pad+ma bkod/" ,
 "http://purl.bdrc.io/resource/G2CN11103" , "bde chen 'bur mo pad+ma bkod/" ,
 "http://purl.bdrc.io/resource/G2CN11103" , "bde chen pad+ma bkod/" ,
 "http://purl.bdrc.io/resource/G2CN11103" , "gnas mchog 'bur mo brag dkar/" ,
 "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang" ,
 "http://purl.bdrc.io/resource/G1135" , "dar rtse mdo/" ,
 "http://purl.bdrc.io/resource/G1135" , "dar mdo/" ,
 "http://purl.bdrc.io/resource/G2CN10881" , "sle lung bla brang gi par khang" ,
 "http://purl.bdrc.io/resource/G2CN10887" , "smin grol gling par khang" ,
 "http://purl.bdrc.io/resource/G3167" , "li yul/" ,
 "http://purl.bdrc.io/resource/G3167" , 李域 ,
 "http://purl.bdrc.io/resource/G3167" , "li/" ,
 "http://purl.bdrc.io/resource/G3167" , "kho tAn/" ,
 "http://purl.bdrc.io/resource/G3167" , "diru" ,
 "http://purl.bdrc.io/resource/G3167" , 黎域 ,
 "http://purl.bdrc.io/resource/G3167" , 地乳 ,
 "http://purl.bdrc.io/resource/G3167" , "liyu" ,
 "http://purl.bdrc.io/resource/G3275" , "gru gu/" ,
 "http://purl.bdrc.io/resource/G3275" , "dru gu/" ,
 "http://purl.bdrc.io/resource/G3248" , "manasarovara" ,
 "http://purl.bdrc.io/resource/G3248" , "mtsho ma pham/" ,
 "http://purl.bdrc.io/resource/G3248" , 玛旁雍错 ,
 "http://purl.bdrc.io/resource/G3248" , "Lake Manasarovar" ,
 "http://purl.bdrc.io/resource/G3248" , "mtsho ma dros pa/" ,
 "http://purl.bdrc.io/resource/G3248" , "Mapham Yumco" ,
 "http://purl.bdrc.io/resource/G3248" , "ma dros mtsho chen/" ,
 "http://purl.bdrc.io/resource/G3248" , "mapang yongcuo" ,
 "http://purl.bdrc.io/resource/G3248" , "Mapham Yumtso" ,
 "http://purl.bdrc.io/resource/G3248" , "ma pham g.yu mtsho" ,
 "http://purl.bdrc.io/resource/G3JT12577" , "gsang sngags nor bu'i gling gi par khang" ,
 "http://purl.bdrc.io/resource/G1AG61" , "skyid phug bde ldan/" ,
